datetime_gmt8,league,league_short,league_flag,league_color,home_name,away_name,odds_1,odds_x,odds_2,league_tier,competition_type,is_future,status,ah_line_home,ah_line_away,ah_odds_home,ah_odds_away,home_score,away_score,has_recommendation,rec_text,line,rec_odds,ev,confidence,kings_call,kings_call_agreement,primary_signal,secondary_signal
2025-09-27 22:00:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Chelsea,Brighton & Hove Albion,1.75,4.05,4.4,1,league,True,incomplete,-0.75,0.75,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:00:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Leeds United,AFC Bournemouth,2.8,3.35,2.5,1,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,AFC Bournemouth -0.0,-0.0,1.925,0.3811931063110546,High,,,kings-call,value
2025-09-27 22:15:00,Spain La Liga,La Liga,🇪🇸,#ee8900,Atlético Madrid,Real Madrid,2.9,3.55,2.45,1,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:30:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,Ajax,NAC Breda,1.26,5.8,10.0,2,league,True,incomplete,-1.75,1.75,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:30:00,Portugal Liga NOS,Liga NOS,🇵🇹,#046a38,Moreirense FC,Casa Pia,2.25,3.3,3.3,2,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,True,Casa Pia +0.25,0.25,1.925,0.1554025312060372,High,,,kings-call,value
2025-09-27 22:30:00,Portugal Liga NOS,Liga NOS,🇵🇹,#046a38,Santa Clara,CD Tondela,1.7,3.6,5.5,2,league,True,incomplete,-1.0,1.0,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 23:00:00,France Ligue 1,Ligue 1,🇫🇷,#dae025,Lorient,Monaco,4.8,4.2,1.63,1,league,True,incomplete,1.0,-1.0,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 23:20:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Riyadh,Neom SC,3.75,3.6,1.86,3,league,True,incomplete,0.75,-0.75,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 23:35:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Najma,Al Feiha,2.77,2.9,2.4,3,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-28 00:00:00,Denmark Superliga,Superliga,🇩🇰,#c8102e,SønderjyskE,København,6.14,4.55,1.49,3,league,True,incomplete,1.25,-1.25,1.925,1.925,0,0,True,SønderjyskE +1.25,1.25,1.925,0.08734805186734046,High,,,value-bet,value
2025-09-28 00:00:00,Italy Serie A,Serie A,🇮🇹,#024494,Juventus,Atalanta,1.87,3.65,4.1,1,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,True,Atalanta +0.5,0.5,1.925,0.294864221618929,High,,,kings-call,value
2025-09-28 00:30:00,Spain La Liga,La Liga,🇪🇸,#ee8900,RCD Mallorca,Deportivo Alavés,2.28,3.01,3.45,1,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,True,Deportivo Alavés +0.25,0.25,1.925,0.14037793647643676,High,,,hot-pick,value
2025-09-28 00:30:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Nottingham Forest,Sunderland,1.77,3.6,4.7,1,league,True,incomplete,-0.75,0.75,1.925,1.925,0,0,True,Sunderland +0.75,0.75,1.925,0.4109943249676156,High,,,kings-call,value
2025-09-28 00:30:00,Germany Bundesliga,Bundesliga,🇩🇪,#d20515,Borussia M'gladbach,Eintracht Frankfurt,3.14,3.83,2.04,1,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,True,Eintracht Frankfurt -0.25,-0.25,1.925,0.48513133558958216,High,,,kings-call,value
2025-09-28 00:45:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,Volendam,PEC Zwolle,2.61,3.6,2.41,2,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,PEC Zwolle -0.0,-0.0,1.925,0.06508850112315262,High,,,value-bet,
2025-09-28 00:45:00,Scotland Premiership,Premiership,🏴󠁧󠁢󠁳󠁣󠁴󠁿,#005eb8,Motherwell,Aberdeen,2.25,3.45,3.15,3,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-28 01:00:00,France Ligue 1,Ligue 1,🇫🇷,#dae025,Toulouse,Nantes,1.73,3.6,4.8,1,league,True,incomplete,-0.75,0.75,1.925,1.925,0,0,True,Nantes +0.75,0.75,1.925,0.3869772524446154,High,,,kings-call,value
2025-09-28 01:00:00,Portugal Liga NOS,Liga NOS,🇵🇹,#046a38,Estrela Amadora,AVS,1.82,3.6,4.4,2,league,True,incomplete,-0.75,0.75,1.925,1.925,0,0,True,AVS +0.75,0.75,1.925,0.2331449713113553,High,,,kings-call,value
2025-09-28 02:00:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,Excelsior,PSV,10.0,6.0,1.24,2,league,True,incomplete,1.75,-1.75,1.925,1.925,0,0,True,Excelsior +1.75,1.75,1.925,0.340234375,High,,,kings-call,value
2025-09-28 02:00:00,Saudi Arabia Professional League,Saudi Pro,🇸🇦,#006c35,Al Fateh,Al Quadisiya,3.4,3.7,1.87,3,league,True,incomplete,0.5,-0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-28 02:45:00,Italy Serie A,Serie A,🇮🇹,#024494,Cagliari,Inter Milan,5.7,4.3,1.55,1,league,True,incomplete,1.0,-1.0,1.925,1.925,0,0,True,Cagliari +1.0,1.0,1.925,0.19218750000000007,High,,,kings-call,value
