dt_gmt8,cum_bankroll
2025-08-08 20:00:00+00:00,1625257630.17
2025-08-09 00:00:00+00:00,1563976797.67
2025-08-09 02:00:00+00:00,1520136573.06
2025-08-09 02:30:00+00:00,285180998.29
2025-08-09 02:45:00+00:00,1586663038.17
2025-08-09 03:15:00+00:00,1660046203.69
2025-08-09 17:00:00+00:00,1577043893.5
2025-08-09 18:00:00+00:00,1649982173.58
2025-08-09 18:30:00+00:00,1560251530.78
2025-08-09 19:00:00+00:00,1592970070.28
2025-08-09 19:30:00+00:00,1607188550.98
2025-08-09 19:35:00+00:00,1558316824.61
2025-08-09 20:00:00+00:00,1630388977.75
2025-08-09 21:00:00+00:00,1548869528.86
2025-08-09 22:00:00+00:00,1671224245.72
2025-08-09 22:30:00+00:00,304880036.85
2025-08-09 23:00:00+00:00,1802869755.11
2025-08-10 00:00:00+00:00,183294777.61
2025-08-10 00:15:00+00:00,1751790705.72
2025-08-10 01:30:00+00:00,1832811025.86
2025-08-10 02:00:00+00:00,1741170474.57
2025-08-10 02:30:00+00:00,1821699609.02
2025-08-10 03:30:00+00:00,1730614628.57
2025-08-10 05:30:00+00:00,1815433152.05
2025-08-10 07:30:00+00:00,1987244043.59
2025-08-10 08:00:00+00:00,193046035.36
2025-08-10 08:30:00+00:00,2114515768.81
2025-08-10 08:45:00+00:00,1966126460.58
2025-08-10 10:30:00+00:00,441414977.56
2025-08-10 17:30:00+00:00,551774.84
2025-08-10 18:00:00+00:00,2057059809.38
2025-08-10 18:15:00+00:00,1990330543.2
2025-08-10 19:00:00+00:00,442021761.26
2025-08-10 19:30:00+00:00,451908283.67
2025-08-10 20:00:00+00:00,2049476694.19
2025-08-10 20:30:00+00:00,1674641548.62
2025-08-10 21:00:00+00:00,466050883.5
2025-08-10 22:00:00+00:00,2064351044.64
2025-08-10 23:00:00+00:00,2143077198.13
2025-08-11 00:00:00+00:00,2242194518.55
2025-08-11 00:30:00+00:00,2130084792.62
2025-08-11 01:15:00+00:00,2169913435.98
2025-08-11 01:30:00+00:00,2243724033.33
2025-08-11 02:30:00+00:00,1708142261.63
2025-08-11 03:00:00+00:00,2243724033.33
2025-08-11 03:30:00+00:00,1622735148.55
2025-08-11 05:30:00+00:00,327236320.05
2025-08-11 06:00:00+00:00,2347496269.88
2025-08-11 07:30:00+00:00,1732931903.5
2025-08-11 08:00:00+00:00,348807732.12
2025-08-11 10:00:00+00:00,504530293.07
2025-08-11 18:00:00+00:00,1769107721.53
2025-08-12 01:45:00+00:00,2456067972.36
2025-08-12 02:30:00+00:00,2456067972.36
2025-08-12 03:45:00+00:00,214157922.41
2025-08-12 19:35:00+00:00,526467530.47
2025-08-12 21:00:00+00:00,1880734538.56
2025-08-13 00:00:00+00:00,2481583362.02
2025-08-13 01:00:00+00:00,2556331898.16
2025-08-13 02:15:00+00:00,2383533848.6
2025-08-13 02:30:00+00:00,2518983886.73
2025-08-13 02:45:00+00:00,2955716817.47
2025-08-13 03:00:00+00:00,2795061065.27
2025-08-13 21:00:00+00:00,2850595969.37
2025-08-14 00:00:00+00:00,2912050867.07
2025-08-14 02:45:00+00:00,3242826598.43
2025-08-14 03:00:00+00:00,3392807328.61
2025-08-14 22:00:00+00:00,3534257070.29
2025-08-15 00:30:00+00:00,3697716459.79
2025-08-15 01:00:00+00:00,3882178128.58
2025-08-15 01:30:00+00:00,4129927253.24
2025-08-15 02:00:00+00:00,4420646407.92
2025-08-15 02:30:00+00:00,4231877375.94
2025-08-15 02:45:00+00:00,4427601704.58
2025-08-15 03:00:00+00:00,4705410545.71
2025-08-15 18:00:00+00:00,4814223164.58
2025-08-15 20:00:00+00:00,5036880985.94
2025-08-16 00:00:00+00:00,5218083572.56
2025-08-16 00:30:00+00:00,787544689.31
2025-08-16 01:00:00+00:00,5272865306.37
2025-08-16 02:45:00+00:00,5009222041.05
2025-08-16 03:00:00+00:00,513687.3
2025-08-16 03:15:00+00:00,740574768.34
2025-08-16 03:30:00+00:00,4967314429.15
2025-08-16 17:00:00+00:00,5197052721.5
2025-08-16 17:30:00+00:00,538939.07
2025-08-16 18:00:00+00:00,5317234565.69
2025-08-16 19:00:00+00:00,3920962132.85
2025-08-16 19:30:00+00:00,4800881116.24
2025-08-16 19:35:00+00:00,4016141168.86
2025-08-16 21:30:00+00:00,4721284143.01
2025-08-16 22:00:00+00:00,4721284143.01
2025-08-16 23:00:00+00:00,872118402.68
2025-08-17 00:00:00+00:00,3847869278.0
2025-08-17 00:15:00+00:00,3936851255.05
2025-08-17 00:30:00+00:00,3648133440.95
2025-08-17 00:45:00+00:00,3648133440.95
2025-08-17 01:00:00+00:00,787086858.42
2025-08-17 01:30:00+00:00,4118930625.6
2025-08-17 02:30:00+00:00,4255325699.54
2025-08-17 02:45:00+00:00,4658045734.37
2025-08-17 03:00:00+00:00,4495263457.48
2025-08-17 03:05:00+00:00,4443694557.48
2025-08-17 03:15:00+00:00,4546454994.12
2025-08-17 03:30:00+00:00,919836034.39
2025-08-17 05:30:00+00:00,4771506848.06
2025-08-17 07:30:00+00:00,4649053064.46
2025-08-17 08:30:00+00:00,4332557222.61
2025-08-17 09:30:00+00:00,4115929361.48
2025-08-17 10:02:00+00:00,833257028.34
2025-08-17 18:00:00+00:00,3965535613.99
2025-08-17 18:15:00+00:00,3789057853.22
2025-08-17 18:30:00+00:00,3928070704.52
2025-08-17 19:00:00+00:00,3783041108.99
2025-08-17 19:30:00+00:00,3958006760.28
2025-08-17 20:00:00+00:00,3704148927.96
2025-08-17 20:30:00+00:00,3795421629.68
2025-08-17 21:00:00+00:00,861601070.01
2025-08-17 21:30:00+00:00,3795421629.68
2025-08-17 22:00:00+00:00,3670052576.42
2025-08-17 22:45:00+00:00,3678838793.51
2025-08-17 23:00:00+00:00,3718763287.55
2025-08-17 23:15:00+00:00,3693518949.27
