datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-11-29 23:00:00,England Championship,West Bromwich Albion,Swansea City,Swansea City +0.5,High,0.5,1.925,0.3575796802438692,0.8108108108108109,0.6,-0.5,league,2,team_a_xg: -0.470; team_b_xg: 0.217; odds_ft_1: 0.073,team_b_xg: -0.490; team_a_xg: 0.183; odds_ft_2: -0.102,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:00:00,England Championship,Wrexham,Blackburn Rovers,Blackburn Rovers +0.25,High,0.25,1.925,0.20698583679005528,0.8108108108108109,0.8333333333333334,-0.25,league,2,team_a_xg: -0.482; team_b_xg: 0.184; market_prob_u25: -0.047,team_b_xg: -0.469; team_a_xg: 0.180; odds_ft_2: -0.087,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:00:00,England Championship,Middlesbrough,Derby County,Derby County +0.75,High,0.75,1.925,0.14854344802020558,1.1071428571428572,0.4878048780487805,-0.75,league,2,team_a_xg: -0.462; odds_ft_1: 0.252; team_b_xg: 0.209,team_b_xg: -0.507; team_a_xg: 0.182; odds_ft_2: -0.101,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:00:00,England Championship,Norwich City,Queens Park Rangers,Queens Park Rangers +0.25,High,0.25,1.925,0.10315413838510251,0.8,0.6,-0.25,league,2,team_a_xg: -0.507; team_b_xg: 0.183; odds_ft_1: -0.066,team_b_xg: -0.509; team_a_xg: 0.167; market_prob_btts_yes: 0.037,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:00:00,England Championship,Coventry City,Charlton Athletic,Charlton Athletic +1.0,High,1.0,1.925,0.08627268699313656,1.3333333333333333,0.38461538461538464,-1.0,league,2,team_a_xg: -0.519; odds_ft_1: 0.279; team_b_xg: 0.260,team_b_xg: -0.463; team_a_xg: 0.169; odds_ft_2: -0.103,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:15:00,Spain La Liga,FC Barcelona,Deportivo Alavés,Deportivo Alavés +2.0,High,2.0,1.925,0.5193243126226268,1.6529850746268657,0.6216216216216216,-2.0,league,1,team_a_xg: -0.574; odds_ft_1: 0.357; team_b_xg: 0.263,team_b_xg: -0.502; team_a_xg: 0.180; odds_ft_2: -0.125,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:30:00,Portugal Liga NOS,Moreirense FC,Famalicão,Moreirense FC +0.5,High,0.5,1.925,0.19696323888498968,0.723404255319149,1.0,0.5,league,2,team_a_xg: -0.522; odds_ft_1: -0.213; team_b_xg: 0.170,team_b_xg: -0.463; team_a_xg: 0.221; odds_ft_2: 0.198,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 23:30:00,Portugal Liga NOS,Casa Pia,Alverca,Alverca +0.25,High,0.25,1.925,0.10315413838510251,0.8,0.6,-0.25,league,2,team_a_xg: -0.486; team_b_xg: 0.188; odds_ft_1: -0.094,team_b_xg: -0.487; team_a_xg: 0.183; odds_ft_2: -0.086,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-30 00:00:00,France Ligue 1,Monaco,PSG,PSG -1.0,High,-1.0,1.925,0.16772267603967622,0.34375,1.8203592814371257,1.0,league,1,team_a_xg: -0.588; odds_ft_1: -0.268; team_b_xg: 0.172,odds_ft_2: 0.514; team_a_xg: 0.333; team_b_xg: -0.312,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-30 01:00:00,Italy Serie A,Juventus,Cagliari,Cagliari +1.5,High,1.5,1.925,0.37131038576013115,1.581151832460733,0.6521739130434783,-1.5,league,1,team_a_xg: -0.501; odds_ft_1: 0.308; team_b_xg: 0.181,team_b_xg: -0.483; team_a_xg: 0.176; odds_ft_2: -0.108,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-30 01:30:00,England Premier League,Everton,Newcastle United,Newcastle United -0.0,High,-0.0,1.925,0.26168709269308765,0.5943396226415095,1.0543478260869565,0.0,league,1,team_a_xg: -0.529; odds_ft_1: -0.184; team_b_xg: 0.165,team_b_xg: -0.537; team_a_xg: 0.180; odds_ft_1: 0.051,King's insight: Solid bet based on ML analysis—watch this space!
