datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-12-13 23:00:00,England Championship,Birmingham City,Charlton Athletic,Charlton Athletic +0.75,High,0.75,1.925,0.3323434347422558,0.8888888888888888,0.5,-0.75,league,2,team_a_xg: -0.380; odds_ft_1: 0.216; team_b_xg: 0.185,team_b_xg: -0.429; team_a_xg: 0.131; odds_ft_2: -0.112,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 23:00:00,England Championship,Millwall,Hull City,Hull City +0.5,High,0.5,1.925,0.29471032169838585,0.7906976744186046,0.5,-0.5,league,2,team_a_xg: -0.430; team_b_xg: 0.173; market_prob_u25: -0.037,team_b_xg: -0.413; team_a_xg: 0.208; odds_ft_2: -0.115,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 23:00:00,England Championship,Coventry City,Bristol City,Bristol City +1.0,High,1.0,1.925,0.23419620701739086,1.4217687074829932,0.7807017543859649,-1.0,league,2,team_a_xg: -0.457; odds_ft_1: 0.252; team_b_xg: 0.164,team_b_xg: -0.465; team_a_xg: 0.141; odds_ft_2: -0.139,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 23:00:00,England Championship,Portsmouth,Blackburn Rovers,Portsmouth 0.0,High,0.0,1.925,0.19354574242706307,0.7906976744186046,0.5,0.0,league,2,team_a_xg: -0.453; team_b_xg: 0.144; odds_ft_1: -0.134,team_b_xg: -0.438; team_a_xg: 0.137; odds_ft_2: 0.051,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 23:00:00,Scotland Premiership,Dundee United,Motherwell,Motherwell -0.0,High,-0.0,1.925,0.1427201665492708,0.8125,1.0853658536585367,0.0,league,3,team_a_xg: -0.460; odds_ft_1: -0.139; team_b_xg: 0.135,team_b_xg: -0.406; team_a_xg: 0.225; odds_ft_2: 0.116,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 23:15:00,Spain La Liga,RCD Mallorca,Elche CF,Elche CF +0.25,High,0.25,1.925,0.2898375800548383,0.7142857142857143,0.8741007194244604,-0.25,league,1,team_a_xg: -0.436; team_b_xg: 0.154; odds_ft_1: -0.101,team_b_xg: -0.425; team_a_xg: 0.120; odds_ft_2: -0.118,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-13 23:30:00,Portugal Liga NOS,Casa Pia,Gil Vicente,Casa Pia +0.5,High,0.5,1.925,0.714557601743103,0.7906976744186046,0.5,0.5,league,2,team_a_xg: -0.442; odds_ft_1: -0.210; team_b_xg: 0.143,team_b_xg: -0.445; odds_ft_2: 0.143; team_a_xg: 0.137,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-14 01:30:00,Spain La Liga,FC Barcelona,CA Osasuna,CA Osasuna +2.0,High,2.0,1.925,0.595785923159736,1.6704545454545454,0.8741007194244604,-2.0,league,1,team_a_xg: -0.530; odds_ft_1: 0.364; odds_ft_2: 0.200,team_b_xg: -0.461; odds_ft_2: -0.232; team_a_xg: 0.122,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-14 01:30:00,Germany Bundesliga,Bayer Leverkusen,Köln,Köln +1.0,High,1.0,1.925,0.18963430262644487,1.6704545454545454,0.975609756097561,-1.0,league,1,team_a_xg: -0.477; odds_ft_1: 0.269; team_b_xg: 0.162,team_b_xg: -0.429; team_a_xg: 0.219; odds_ft_2: -0.147,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-14 01:45:00,Netherlands Eredivisie,Groningen,Volendam,Volendam +1.0,High,1.0,1.925,0.2163836077214201,1.4596774193548387,0.7807017543859649,-1.0,league,2,team_a_xg: -0.465; odds_ft_1: 0.258; team_b_xg: 0.161,team_b_xg: -0.436; odds_ft_2: -0.216; team_a_xg: 0.121,King's insight: Solid bet based on ML analysis—watch this space!
